,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
191,answer,Q32,8,Common,,,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,- I do not need this type of financing,,,,,,,,,,
192,answer,Q32,5,Common,,,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,- Other,,,,,,,,,,
193,answer,Q32,9,Common,,,- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],,,,,,,,,,
194,question,Q5,,Common,,,"Q5/Q5_g1. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased during the {previous quarter and current quarter} OR {current quarter}. ","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past six months.","Q5. For each of the following types of external financing, please indicate if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?","Q5. For each of the following types of external financing, please tell me if your needs increased, remained unchanged or decreased over the past 6 months?"
195,answer,Q5,1,Common,,"In 2009H1, the codes for increased and decreased were swapped in questions Q5 and Q6. In the SAFE micro data, the values were re-coded for round 2009H1, to align them with the later rounds.",- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Increased,- Decreased
196,answer,Q5,2,Common,,,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged,- Remained unchanged
197,answer,Q5,3,Common,,"In 2009H1, the codes for increased and decreased were swapped in questions Q5 and Q6. In the SAFE micro data, the values were re-coded for round 2009H1, to align them with the later rounds.",- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Decreased,- Increased
198,answer,Q5,7,Common,,,-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE],-[NOT APPLICABLE]
199,answer,Q5,9,Common,,,- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK/NA],- [DK/NA]
200,item,Q5_f,,Common,,,"Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Credit line, bank overdraft or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft","Bank overdraft, credit line or credit cards overdraft",,
201,item,Q5_a,,Common,,,Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans (new or renewal; excluding overdraft and credit lines),Bank loans
202,item,Q5_b,,Common,,,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit,Trade credit
